INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCEITEM_ID,SCREEN_USE_ATR,ATTENDANCEITEM_TYPE
,,,,,,,,0,"00000000","000000000000-0000",165,19,1
,,,,,,,,0,"00000000","000000000000-0000",165,20,2
,,,,,,,,0,"00000000","000000000000-0000",166,16,2
,,,,,,,,0,"00000000","000000000000-0000",166,20,2
,,,,,,,,0,"00000000","000000000000-0000",167,16,2
,,,,,,,,0,"00000000","000000000000-0000",167,20,2
,,,,,,,,0,"00000000","000000000000-0000",168,16,2
,,,,,,,,0,"00000000","000000000000-0000",168,20,2
,,,,,,,,0,"00000000","000000000000-0000",169,15,1
,,,,,,,,0,"00000000","000000000000-0000",169,16,2
,,,,,,,,0,"00000000","000000000000-0000",169,19,1
,,,,,,,,0,"00000000","000000000000-0000",169,20,2
,,,,,,,,0,"00000000","000000000000-0000",170,16,2
,,,,,,,,0,"00000000","000000000000-0000",170,20,2
,,,,,,,,0,"00000000","000000000000-0000",171,15,1
,,,,,,,,0,"00000000","000000000000-0000",171,16,2
,,,,,,,,0,"00000000","000000000000-0000",171,19,1
,,,,,,,,0,"00000000","000000000000-0000",171,20,2
,,,,,,,,0,"00000000","000000000000-0000",172,16,2
,,,,,,,,0,"00000000","000000000000-0000",172,20,2
,,,,,,,,0,"00000000","000000000000-0000",173,16,2
,,,,,,,,0,"00000000","000000000000-0000",173,20,2
,,,,,,,,0,"00000000","000000000000-0000",174,16,2
,,,,,,,,0,"00000000","000000000000-0000",174,20,2
,,,,,,,,0,"00000000","000000000000-0000",175,15,1
,,,,,,,,0,"00000000","000000000000-0000",175,16,2
,,,,,,,,0,"00000000","000000000000-0000",175,19,1
,,,,,,,,0,"00000000","000000000000-0000",175,20,2
,,,,,,,,0,"00000000","000000000000-0000",176,16,2
,,,,,,,,0,"00000000","000000000000-0000",176,20,2
,,,,,,,,0,"00000000","000000000000-0000",177,15,1
,,,,,,,,0,"00000000","000000000000-0000",177,16,2
,,,,,,,,0,"00000000","000000000000-0000",177,19,1
,,,,,,,,0,"00000000","000000000000-0000",177,20,2
,,,,,,,,0,"00000000","000000000000-0000",178,16,2
,,,,,,,,0,"00000000","000000000000-0000",178,20,2
,,,,,,,,0,"00000000","000000000000-0000",179,16,2
,,,,,,,,0,"00000000","000000000000-0000",179,20,2
,,,,,,,,0,"00000000","000000000000-0000",180,16,2
,,,,,,,,0,"00000000","000000000000-0000",180,20,2
,,,,,,,,0,"00000000","000000000000-0000",181,15,1
,,,,,,,,0,"00000000","000000000000-0000",181,16,2
,,,,,,,,0,"00000000","000000000000-0000",181,19,1
,,,,,,,,0,"00000000","000000000000-0000",181,20,2
,,,,,,,,0,"00000000","000000000000-0000",182,16,2
,,,,,,,,0,"00000000","000000000000-0000",182,20,2
,,,,,,,,0,"00000000","000000000000-0000",183,15,1
,,,,,,,,0,"00000000","000000000000-0000",183,16,2
,,,,,,,,0,"00000000","000000000000-0000",183,19,1
,,,,,,,,0,"00000000","000000000000-0000",183,20,2
,,,,,,,,0,"00000000","000000000000-0000",184,16,2
,,,,,,,,0,"00000000","000000000000-0000",184,20,2
,,,,,,,,0,"00000000","000000000000-0000",187,15,1
,,,,,,,,0,"00000000","000000000000-0000",187,19,1
,,,,,,,,0,"00000000","000000000000-0000",189,15,1
,,,,,,,,0,"00000000","000000000000-0000",189,19,1
,,,,,,,,0,"00000000","000000000000-0000",189,20,2
,,,,,,,,0,"00000000","000000000000-0000",190,16,2
,,,,,,,,0,"00000000","000000000000-0000",190,20,2
,,,,,,,,0,"00000000","000000000000-0000",191,16,2
,,,,,,,,0,"00000000","000000000000-0000",191,20,2
,,,,,,,,0,"00000000","000000000000-0000",192,20,2
,,,,,,,,0,"00000000","000000000000-0000",193,15,1
,,,,,,,,0,"00000000","000000000000-0000",193,19,1
,,,,,,,,0,"00000000","000000000000-0000",193,20,2
,,,,,,,,0,"00000000","000000000000-0000",194,20,2
,,,,,,,,0,"00000000","000000000000-0000",195,15,1
,,,,,,,,0,"00000000","000000000000-0000",195,19,1
,,,,,,,,0,"00000000","000000000000-0000",195,20,2
,,,,,,,,0,"00000000","000000000000-0000",196,20,2
,,,,,,,,0,"00000000","000000000000-0000",197,20,2
,,,,,,,,0,"00000000","000000000000-0000",198,20,2
,,,,,,,,0,"00000000","000000000000-0000",199,15,1
,,,,,,,,0,"00000000","000000000000-0000",199,19,1
,,,,,,,,0,"00000000","000000000000-0000",199,20,2
,,,,,,,,0,"00000000","000000000000-0000",200,20,2
,,,,,,,,0,"00000000","000000000000-0000",201,15,1
,,,,,,,,0,"00000000","000000000000-0000",201,19,1
,,,,,,,,0,"00000000","000000000000-0000",201,20,2
,,,,,,,,0,"00000000","000000000000-0000",202,16,2
,,,,,,,,0,"00000000","000000000000-0000",202,20,2
,,,,,,,,0,"00000000","000000000000-0000",203,16,2
,,,,,,,,0,"00000000","000000000000-0000",203,20,2
,,,,,,,,0,"00000000","000000000000-0000",204,16,2
,,,,,,,,0,"00000000","000000000000-0000",204,20,2
,,,,,,,,0,"00000000","000000000000-0000",205,15,1
